12345,Alice,1000
67890,Bob,500
11223,Charlie,2000
54321,David,1500
67891,Emma,3000
34567,Frank,1000
98765,Grace,2500
23456,Hannah,1000
65432,Ian,500
76543,Jack,2000
67892,Kate,1500
34568,Liam,1800
54322,Mona,900
23457,Nina,1200
11224,Oscar,300
87654,Paul,4500
34569,Quincy,2200
98766,Rachel,2300
11225,Steve,1700
23458,Tracy,1400
56789,Uma,2400
76544,Vicky,1100
67893,Will,1300
98767,Xander,3500
34570,Yara,200
23459,Zara,2100
67894,Adam,800
11226,Blake,1600
54323,Chris,2400
23460,Diana,2200
76545,Elena,2600
87655,Finn,1500
34571,Grace,1300
98768,Harry,1800
67895,Isla,1900
23461,Jack,2500
11227,Kim,2300
54324,Liam,3000
34572,Maya,2100
76546,Noah,1400
23462,Olivia,1600
67896,Paul,1700
11228,Quinn,2200
54325,Ryan,2400
34573,Sam,2000
23463,Tessa,1800
76547,Uma,2600
67897,Victor,1500
11229,Willow,2000
98769,Xander,2200
34574,Yasmin,1600
23464,Zoe,2800
76548,Aiden,2700
67898,Blair,2500
11230,Chloe,2200
54326,Dylan,1900
34575,Ella,2000
98770,Faye,2300
23465,Gwen,1600
76549,Hayden,2400
67899,Izzy,1100
11231,James,1800
54327,Kian,1700
34576,Lily,2500
23466,Max,1300
76550,Nate,2000
67800,Oscar,2400
11232,Paige,2200
54328,Quinn,1700
34577,Ruby,2000
23467,Stella,2600
76551,Taylor,2500
98771,Uma,1400
34578,Victor,2000
23468,Willow,2300
67801,Xander,3000
11233,Yara,2100
54329,Zane,1600
34579,Anna,1800
23469,Ben,2200
76552,Cora,2400
98772,David,1500
34580,Emily,2000
23470,Freya,1300
76553,Gary,2200
67802,Hannah,2100
11234,Isabel,1700
54330,Jake,2400
34581,Kayla,1800
23471,Lena,1900
76554,Max,2600
98773,Nina,2000
34582,Olivia,2400
23472,Paul,1500
76555,Quincy,2300
67803,Rachel,1600
11235,Sam,2200
54331,Travis,2000
34583,Uma,2100
23473,Vera,2500
76556,Will,1600
98774,Xena,1900
34584,Yasmin,2700
23474,Zara,2200
76557,Aiden,2000
67804,Brooke,1300
11236,Carla,1800
54332,David,1700
34585,Elle,2400
23475,Frida,2500
76558,Grant,3000
98775,Holly,2200
34586,Isla,2000
23476,Jacob,1700
76559,Kate,1500
67805,Liam,2400
11237,Maya,2100
54333,Nora,2000
34587,Oliver,1800
23477,Penelope,2200
76560,Quincy,2600
98776,Riley,2500
